name_cn,name_en,card_number,domain_cn,domain_en,cost,type_cn,type_en,rarity_cn,rarity_en,description_cn,description_en,image_url_cn,image_url_en,match_score,confidence,temporary
闪现,Flash,OGS·011/024,purple,Chaos,2,法术,Spell,普通,Common,"{{反应}}（可在任意时机打出，甚至先于其他法术和技能的结算。）
将最多两名友方单位从战场上移动到基地。","[Reaction] (Play any time, even before spells and abilities resolve.)Move up to 2 friendly units to base.",https://cdn1.playloltcg.com/lol/card/20250731/d16981dcbd884d3b89c2a259725a491f.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4d9cc1c13b75933e509e642213f13359350cd3f9-744x1039.png?auto=format&fit=fill&q=80&w=437,100,high,NO
爆能术,Blast Of Power,OGS·012/024,yellow,Order,6,法术,Spell,普通,Common,"{{迅捷}}（可在你的回合或法术对决中打出。）
摧毁战场上的一名单位。",[Action] (Play on your turn or in showdowns.)Kill a unit at a battlefield.,https://cdn1.playloltcg.com/lol/card/20250731/4c7fff3a64b34999881df2a3d19f0ca0.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/026f851a703601fce4142c0791e913377c170b47-744x1039.png?auto=format&fit=fill&q=80&w=437,100,high,NO
"盖伦, 剑尉长","Garen, Commander",OGS·013/024,yellow,Order,6,英雄单位,Champion Unit,史诗,Epic,此处的其他友方单位获得{{S}}+1。,Other friendly units have +1 {icon:might} here.,https://cdn1.playloltcg.com/lol/card/20250731/a9bb9ade0fc94e53a17ae052fd922615.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cbf2c12d69a86566e4cda07050b2d4495e40187e-744x1039.png?auto=format&fit=fill&q=80&w=437,90,high,NO
"拉克丝, 冕卫之光","Lux, Crownguard",OGS·014/024,yellow,Order,4,英雄单位,Champion Unit,史诗,Epic,{{横置}}：{{反应}}-{{获得}}{{2}}，但仅可用于打出法术。（获得费用资源的技能无法成为其他法术的反应目标。）,{icon:exhaust}: [Reaction] — [Add] {icon:2}. Use only to play spells. (Abilities that add resources can't be reacted to.),https://cdn1.playloltcg.com/lol/card/20250731/dfbea90b57b043f4930863fdf21874d0.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/17d0793ad495727e67bb1c94ae0e11cd4705870f-744x1039.png?auto=format&fit=fill&q=80&w=437,90,high,NO
共同献身,Recruit The Vanguard,OGS·015/024,yellow,Order,6,法术,Spell,不凡,Uncommon,"{{迅捷}}（可在你的回合或法术对决中打出。）
打出四名1{{S}}的“随从”。（可以将其打出到你的基地或你已控制的战场。）",[Action] (Play on your turn or in showdowns.)Play four 1 {icon:might} Recruit unit tokens. (They can be played to your base or to battlefields you control.),https://cdn1.playloltcg.com/lol/card/20250731/3ed3308a305447d382ff77d06021a635.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/81d1c47459606f7b627778cce9b5f0e44d80f7fa-744x1039.png?auto=format&fit=fill&q=80&w=437,100,high,NO
先锋扈从,Vanguard Attendant,OGS·016/024,yellow,Order,6,单位,Unit,普通,Common,我以活跃状态进场。,I enter ready.,https://cdn1.playloltcg.com/lol/card/20250731/7b24b03a046d4f48a4e014c30d601257.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4ce467c1d51a65ab4fbae918dca38ae90b510844-744x1039.png?auto=format&fit=fill&q=80&w=437,100,high,NO
黑暗之女,Dark Child - Starter,OGS·017/024,"red,purple",Fury|Chaos,,传奇,Legend,稀有,Rare,"在你回合结束时，让两枚符文变为活跃状态。
[以下为勘误修正]
在你回合结束时，让最多两枚符文变为活跃状态。","At the end of your turn, ready 2 runes.",https://cdn1.playloltcg.com/lol/card/20250731/04f1261faf7741e8abde6a96d2db8f69.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/89963e1d1cffd69c620fb5d6b037f50d5c334463-744x1039.png?auto=format&fit=fill&q=80&w=437,55,medium,NO
提伯斯,Tibbers,OGS·018/024,"red,purple",Fury|Chaos,8,专属单位,Signature Unit,史诗,Epic,当你打出我时，对所有战场上的单位各造成3点伤害。,"When you play me, deal 3 to all units at battlefields.",https://cdn1.playloltcg.com/lol/card/20250731/fc1238b1e6da4dcebc024d6dca76ee38.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/74f8bc78573b33d9979b0e9c121b858d770a490c-744x1039.png?auto=format&fit=fill&q=80&w=437,70,high,NO
无极剑圣,Wuju Bladesman - Starter,OGS·019/024,"green,orange",Calm|Body,,传奇,Legend,稀有,Rare,如果你只有一名友方单位防守一处战场，则该单位{{S}}+2。,"While a friendly unit defends alone, it gets +2 {icon:might}.",https://cdn1.playloltcg.com/lol/card/20250731/0c7f618b2a6a4522b1953a16c4c0a8d1.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8231ced23eaf22ca3bf62ec8cb86b83a3e222da6-744x1039.png?auto=format&fit=fill&q=80&w=437,55,medium,NO
高原血统,Highlander,OGS·020/024,"green,orange",Calm|Body,4,专属法术,Signature Spell,史诗,Epic,"{{反应}}（可在任意时机打出，甚至先于其他法术和技能的结算。）
选择一名友方单位。如果该单位在本回合内被摧毁，则改为以休眠状态将其召回。（把该单位送回基地，此行动不算作移动。）
[以下为勘误修正]
{{反应}}（可在任意时机打出，甚至先于其他法术和技能的结算。）
选择一名友方单位。本回合内，在该单位下次被摧毁时，改为移除其所受伤害、将其变为休眠状态、并将其召回。（把该单位送回基地，此行动不算作移动。）","[Reaction] (Play any time, even before spells and abilities resolve.)Choose a friendly unit. The next time it dies this turn, recall it exhausted instead. (Send it to base. This isn't a move.)",https://cdn1.playloltcg.com/lol/card/20250731/25330aaee06b44cfb35b45404422aab8.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/18c0818cbbfdf26a1237b4f7703b1f035f47b014-744x1039.png?auto=format&fit=fill&q=80&w=437,70,high,NO
光辉女郎,Lady Of Luminosity - Starter,OGS·021/024,"blue,yellow",Mind|Order,,传奇,Legend,稀有,Rare,每当你打出一张费用不低于{{5}}的法术时，抽一张牌。,"When you play a spell that costs {icon:5} or more, draw 1.",https://cdn1.playloltcg.com/lol/card/20250731/43e6206fc8b74cb5821c7fd8fbe40ec3.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44885d811b70621b188d9813b2b10b5cff1b81e6-744x1039.png?auto=format&fit=fill&q=80&w=437,55,medium,NO
终极闪光,Final Spark,OGS·022/024,"blue,yellow",Mind|Order,8,专属法术,Signature Spell,史诗,Epic,"{{迅捷}}（可在你的回合或法术对决中打出。）
对一名单位造成8点伤害。",[Action] (Play on your turn or in showdowns.)Deal 8 to a unit.,https://cdn1.playloltcg.com/lol/card/20250731/b1ff99bcd0314dd68f42e0d9417a7713.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4558a2dc1bb1f1b8a73ec0d82244654e84b12687-744x1039.png?auto=format&fit=fill&q=80&w=437,70,high,NO
德玛西亚之力,Might Of Demacia - Starter,OGS·023/024,"orange,yellow",Body|Order,,传奇,Legend,稀有,Rare,当你征服一处战场时，如果你在该战场上拥有不少于四名单位，则抽两张牌。,"When you conquer, if you have 4+ units at that battlefield, draw 2.",https://cdn1.playloltcg.com/lol/card/20250731/d78d0ea699284be892886bcfc111e2c9.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e7185deb46f17770802d06aeddfe3b929afff880-744x1039.png?auto=format&fit=fill&q=80&w=437,55,medium,NO
致命打击,Decisive Strike,OGS·024/024,"orange,yellow",Body|Order,5,专属法术,Signature Spell,史诗,Epic,"{{迅捷}}（可在你的回合或法术对决中打出。）
在本回合内，让所有友方单位{{S}}+2。",[Action] (Play on your turn or in showdowns.)Give friendly units +2 {icon:might} this turn.,https://cdn1.playloltcg.com/lol/card/20250731/f28cb924915742b2a1b49873935e664b.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/986782271be078c184a8d1c196e375106459c6c5-744x1039.png?auto=format&fit=fill&q=80&w=437,70,high,NO
灼焰飞龙,Blazing Scorcher,OGN·001/298,red,Fury,5,单位,Unit,普通,Common,{{急速}}（你可以选择额外支付{{1}}和{{红色}}，让我以活跃状态进场。）,[Accelerate] (You may pay {icon:1}{icon:fury} as an additional cost to have me enter ready.),https://cdn1.playloltcg.com/lol/card/20250731/bd5a8392eb2b4712a7643a495876ca53.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/15ed971e4029a92b362a81ccadf309fb81e40b81-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
粗鲁的海盗,Brazen Buccaneer,OGN·002/298,red,Fury,6,单位,Unit,普通,Common,打出我时，你可以选择额外弃置一张手牌，以此让我的费用减少{{2}}。,"As you play me, you may discard 1 as an additional cost. If you do, reduce my cost by {icon:2}.",https://cdn1.playloltcg.com/lol/card/20250731/acbb60d927254b5ca4bf0422612e68b0.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d481971f7560e7235e7d6934767da18daa019eff-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
炼金太保,Chemtech Enforcer,OGN·003/298,red,Fury,2,单位,Unit,普通,Common,"{{强攻2}}（如果我是进攻方，则{{S}}+2。）
当你打出我时，弃置一张手牌。","[Assault 2] (+2 {icon:might} while I'm an attacker.)When you play me, discard 1.",https://cdn1.playloltcg.com/lol/card/20250731/2095ee67e0c94526b6219cc15f53e25d.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/19dcf211457d9c9c6e9ea0cd32af76c2c92a3160-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
顺劈,Cleave,OGN·004/298,red,Fury,1,法术,Spell,普通,Common,"{{迅捷}}（可在你的回合或法术对决中打出。）
让一名单位本回合内获得{{强攻3}}。（如果它是进攻方，则{{S}}+3。）",[Action] (Play on your turn or in showdowns.)Give a unit [Assault 3] this turn. (+3 {icon:might} while it's an attacker.),https://cdn1.playloltcg.com/lol/card/20250731/931d80cfd84f40bdb94fa500e6213465.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/95d476a1e88ff547fb846149619177bc7e3cea9f-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
碎裂之火,Disintegrate,OGN·005/298,red,Fury,4,法术,Spell,普通,Common,"{{迅捷}}（可在你的回合或法术对决中打出。）
对战场上的一名单位造成3点伤害。如果该单位被此法术摧毁，则抽一张牌。
[以下为勘误修正]
{{迅捷}}（可在你的回合或法术对决中打出。）
对战场上的一名单位造成 3 点伤害。如果该单位被此法术摧毁，则进行一次：抽一张牌。","[Action] (Play on your turn or in showdowns.)Deal 3 to a unit at a battlefield. If this kills it, draw 1.",https://cdn1.playloltcg.com/lol/card/20250731/0adbd73206f64356ade69038a7d5e45f.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a27374ac3a81f3dfefb43c3c3237c23b4883cb5a-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
嚼火者手雷,Flame Chompers,OGN·006/298,red,Fury,3,单位,Unit,普通,Common,当你弃置我时，你可以选择支付{{红色}}，改为将我打出到场上。,"When you discard me, you may pay {icon:fury} to play me.",https://cdn1.playloltcg.com/lol/card/20250731/6fe0ce2691d0480baddf6dd785a5f541.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1f6f5ebd18e5daac30d62626fddd785c4b457c2b-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
炽烈符文,Fury Rune,OGN·007/298,red,Fury,,符文,Basic Rune,普通,Common,,,https://cdn1.playloltcg.com/lol/card/20250731/9c353ec9e607479587696f6714603f2f.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/12bcd0cde5d9ff4640e82945001e9fef863530f1-744x1039.png?auto=format&fit=fill&q=80&w=437,35,low,NO
炽烈符文,Fury Rune,OGN·007a/298,red,Fury,,符文,Basic Rune,异画,Showcase,,,https://cdn1.playloltcg.com/lol/card/20250731/8bcfa24f535b4093a12526d5bdb82b5e.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/09da06c69d07d4e72dde703737ef167472c715af-1488x2078.png?auto=format&fit=fill&q=80&w=437,35,low,NO
罪恶快感,Get Excited!,OGN·008/298,red,Fury,2,法术,Spell,普通,Common,"{{迅捷}}（可在你的回合或法术对决中打出。）
弃置一张手牌。对战场上的一名单位造成等同于被弃置手牌的法力费用的伤害。（无视其符能费用。）",[Action] (Play on your turn or in showdowns.)Discard 1. Deal its Energy cost as damage to a unit at a battlefield. (Ignore its Power cost.),https://cdn1.playloltcg.com/lol/card/20250731/0f1432a1aa0e4aa589bb75c4cd3209de.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2906c932c482af17fbb2979a8c42a6992f95d6a6-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
海克斯射线,Hextech Ray,OGN·009/298,red,Fury,1,法术,Spell,普通,Common,"{{迅捷}}（可在你的回合或法术对决中打出。）
对战场上的一名单位造成3点伤害。",[Action] (Play on your turn or in showdowns.)Deal 3 to a unit at a battlefield.,https://cdn1.playloltcg.com/lol/card/20250731/9da6bdb6154e405689fb5606895cd90a.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1e7d12693822c38377ddc8f15db23e2f9b6d560a-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
军团后卫,Legion Rearguard,OGN·010/298,red,Fury,2,单位,Unit,普通,Common,{{急速}}（你可以选择额外支付{{1}}和{{红色}}，让我以活跃状态进场。）,[Accelerate] (You may pay {icon:1}{icon:fury} as an additional cost to have me enter ready.),https://cdn1.playloltcg.com/lol/card/20250731/d06befaafd6547179a11a152c43e839a.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/aedece01c7792c689050460db1670e6b9b15b61f-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
熔浆巨龙,Magma Wurm,OGN·011/298,red,Fury,8,单位,Unit,普通,Common,当我在场上时，其他友方单位以活跃状态进场。,Other friendly units enter ready.,https://cdn1.playloltcg.com/lol/card/20250731/0a39108ca6e74609a9c3ac8926cf342f.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f6565b15f65f538804e6a56623c8aa2eedeffc22-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
诺克萨斯新兵,Noxus Hopeful,OGN·012/298,red,Fury,4,单位,Unit,普通,Common,{{鼓舞}}—我的费用减少{{2}}。（如果你在本回合内已打出过其他卡牌，则发动此效果。）,[Legion] — I cost {icon:2} less._ (Get the effect if you've played another card this turn.)_,https://cdn1.playloltcg.com/lol/card/20250731/745247b6e12447beb2b363cecbd3687c.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c3bb6f4cb58feeb50e396d12ec9865c5434025af-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
呸呸魄罗,Pouty Poro,OGN·013/298,red,Fury,2,单位,Unit,普通,Common,{{法盾}}（对手必须支付{{A}}才能将我选作法术或技能的目标）,[Deflect] (Opponents must pay {icon:rainbow} to choose me with a spell or ability.),https://cdn1.playloltcg.com/lol/card/20250731/e4030917ef0e43ca9f08f7fd95d4c27b.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d541bf3bcb5aa3ad0d48d87f5753569b72ac426f-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
霹天雳地,Sky Splitter,OGN·014/298,red,Fury,8,法术,Spell,普通,Common,"{{迅捷}}（可在你的回合或法术对决中打出。）
将我的法力费用减去你所控制单位中的最高战力值，即为打出我所需的法力。
对战场上的一名单位造成5点伤害。",[Action] (Play on your turn or in showdowns.)This spell's Energy cost is reduced by the highest Might among units you control.Deal 5 to a unit at a battlefield.,https://cdn1.playloltcg.com/lol/card/20250731/3ccc9e782c71478597da0049733c7ff6.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/01faae468720dd5bf5e3fe12ba56c01af70263be-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
法荣队长,Captain Farron,OGN·015/298,red,Fury,4,单位,Unit,不凡,Uncommon,此处的其他友方单位获得{{强攻}}。（如果他们是进攻方，则{{S}}+1。）,Other friendly units here have [Assault]. (+1 {icon:might} while they're attackers.),https://cdn1.playloltcg.com/lol/card/20250731/2806b76599a94da48f0474427de8e4b3.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c65e2cae6748590f589ad8b26bc5a20c0d770c2-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
危险二人组,Dangerous Duo,OGN·016/298,red,Fury,3,单位,Unit,不凡,Uncommon,{{鼓舞}}—当你打出我时，让一名单位本回合内{{S}}+2。（如果你在本回合内已打出过其他卡牌，则发动此效果。）,"[Legion] — When you play me, give a unit +2 {icon:might} this turn. (Get the effect if you've played another card this turn.)",https://cdn1.playloltcg.com/lol/card/20250731/5cb815a1e0c1476394b352fafabaee92.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3c02ea9e438d407c739276b788e015ac93843651-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
钢铁弩炮,Iron Ballista,OGN·017/298,red,Fury,3,装备,Gear,不凡,Uncommon,"此牌以休眠状态进场。
{{横置}}：对战场上的一名单位造成2点伤害。",This enters exhausted.{icon:exhaust}: Deal 2 to a unit at a battlefield.,https://cdn1.playloltcg.com/lol/card/20250731/b09fb22d135842c18c89d6459077dcdd.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9b5cfe757b6067994e17e284eba46433880a1461-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
诺克萨斯破坏者,Noxus Saboteur,OGN·018/298,red,Fury,3,单位,Unit,不凡,Uncommon,对手的{{待命}}卡牌无法在此处被翻开打出。,Your opponents' [Hidden] cards can't be revealed here.,https://cdn1.playloltcg.com/lol/card/20250731/88c6f8f0e7d7429ca0814188af6ac03f.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b78f0c822cb984db24ac3f1956cc8c10f8f88b22-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
肆虐狂魂,Raging Soul,OGN·019/298,red,Fury,4,单位,Unit,不凡,Uncommon,如果你本回合内已经弃置过手牌，则我获得{{强攻}}和{{游走}}。（如果我是进攻方，则{{S}}+1。我可以向其他战场进行移动。）,"If you've discarded a card this turn, I have [Assault] and [Ganking]. (+1 {icon:might} while I'm an attacker. I can move from battlefield to battlefield.)",https://cdn1.playloltcg.com/lol/card/20250731/170a30b18ff24f7d8d7fb4b054eaabd2.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/037647d0decc94ff4a5d53b11cf36afe9d849533-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
垃圾场小霸王,Scrapyard Champion,OGN·020/298,red,Fury,5,单位,Unit,不凡,Uncommon,{{鼓舞}}—当你打出我时，弃置两张手牌，然后抽两张牌。（如果你在本回合内已打出过其他卡牌，则发动此效果。）,"[Legion] — When you play me, discard 2, then draw 2. (Get the effect if you've played another card this turn.)",https://cdn1.playloltcg.com/lol/card/20250731/64ed8b20487246cb9cd2e793e78070e6.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/10f096d2b469fd73329386e5efe88c9bec667d7c-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
太阳圆盘,Sun Disc,OGN·021/298,red,Fury,2,装备,Gear,不凡,Uncommon,{{横置}}：{{鼓舞}}—你在本回合内打出的下一名单位以活跃状态进场。（如果你在本回合内已打出过其他卡牌，则发动此效果。）,{icon:exhaust}: [Legion] — The next unit you play this turn enters ready. (Get the effect if you've played another card this turn.),https://cdn1.playloltcg.com/lol/card/20250731/eb36eca404ae41f29ef3bf75ac723ef1.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/146d7514f15e6674f471f3aa9c3fadf22c0b634b-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
热电光束,Thermo Beam,OGN·022/298,red,Fury,5,法术,Spell,不凡,Uncommon,"{{迅捷}}（可在你的回合或法术对决中打出。）
摧毁所有装备。",[Action] (Play on your turn or in showdowns.)Kill all gear.,https://cdn1.playloltcg.com/lol/card/20250731/242c9a5bc149455cb21e0b037d6ec339.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/88661e852b864491e6d7f5f087caf4263f61c361-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
来路不明的武器,Unlicensed Armory,OGN·023/298,red,Fury,2,装备,Gear,不凡,Uncommon,"弃置一张手牌，{{横置}}： 选择一名友方单位。在本回合内，当它下次被摧毁时，你可以选择支付{{红色}}，改为以休眠状态将其召回。（把该单位送回基地，此行动不算作移动。）
[以下为勘误修正]
弃置一张手牌，{{横置}}：选择一名友方单位。本回合内，当它下次被摧毁时，你可以选择支付{{红色}}，以此改为移除其所受伤害、让其进入休眠状态、并将其召回。（把该单位送回基地，此行动不算作移动。）","Discard 1, {icon:exhaust}: Choose a friendly unit. The next time it dies this turn, you may pay {icon:fury} to recall it exhausted instead. (Send it to base. This isn't a move.)",https://cdn1.playloltcg.com/lol/card/20250731/acde143632894f17b02a10c453033747.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1a80bedd893d9024fc90f108da36b4fd1d496ad6-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
虚空索敌,Void Seeker,OGN·024/298,red,Fury,3,法术,Spell,不凡,Uncommon,"{{迅捷}}（可在你的回合或法术对决中打出。）
对战场上的一名单位造成4点伤害，然后抽一张牌。",[Action] (Play on your turn or in showdowns.)Deal 4 to a unit at a battlefield. Draw 1.,https://cdn1.playloltcg.com/lol/card/20250731/1aba43a573ef40ff990b430ea0427daa.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5b64b63c6be58ff3c33c7fb3c2dcb168d64e287e-744x1039.png?auto=format&fit=fill&q=80&w=437,50,medium,NO
